"","X","Gene.Name","D0.vs..D45.Log2.Fold.Change","D0.vs..D45.p.value","pval","log2fc","labels","sig"
"2248",5076,"UBAP2",-2.235105103,8.86e-05,8.86e-05,-2.235105103,"UBAP2","Down"
"2249",5079,"MIR100HG",-2.457388572,8.86e-05,8.86e-05,-2.457388572,"MIR100HG","Down"
"2250",5080,"HEATR9",-2.539024008,8.86e-05,8.86e-05,-2.539024008,"HEATR9","Down"
"2251",5082,"AADACL4",-2.457388572,8.86e-05,8.86e-05,-2.457388572,"AADACL4","Down"
"2252",5083,"PTPRA",-2.539024008,8.86e-05,8.86e-05,-2.539024008,"PTPRA","Down"
"2253",5086,"TMEM267",1.881804163,8.89e-05,8.89e-05,1.881804163,"TMEM267","Up"
"2254",5088,"SHCBP1",1.941297422,8.91e-05,8.91e-05,1.941297422,"SHCBP1","Up"
"2255",5093,"WFDC21P",-2.15108924,8.92e-05,8.92e-05,-2.15108924,"WFDC21P","Down"
"2256",5094,"TMEM247",-2.185706892,8.92e-05,8.92e-05,-2.185706892,"TMEM247","Down"
"2257",5095,"HDGFL1",-2.185706892,8.92e-05,8.92e-05,-2.185706892,"HDGFL1","Down"
"2258",5098,"TNFRSF10A",-1.996899348,8.94e-05,8.94e-05,-1.996899348,"TNFRSF10A","Down"
"2259",5099,"HELT",-1.928546155,8.95e-05,8.95e-05,-1.928546155,"HELT","Down"
"2260",5101,"MIR1205",-2.085198192,8.95e-05,8.95e-05,-2.085198192,"MIR1205","Down"
"2261",5103,"CYTH4",-2.112849132,8.96e-05,8.96e-05,-2.112849132,"CYTH4","Down"
"2262",5105,"PDXK",-2.112849132,8.96e-05,8.96e-05,-2.112849132,"PDXK","Down"
"2263",5106,"MLPH",-2.045450785,9.01e-05,9.01e-05,-2.045450785,"MLPH","Down"
"2264",5116,"ZNF32",1.899897333,9.03e-05,9.03e-05,1.899897333,"ZNF32","Up"
"2265",5120,"ZC2HC1A",1.8664487,9.03e-05,9.03e-05,1.8664487,"ZC2HC1A","Up"
